Local/Regional government,Country,Project/Initiative,Featured in,Source,Link
New York City,United States of America,"New York City Economic Development Corporation
- New York City Ferry",SDG Local Solutions series: Moving by Water: The Experiences Of Venice and New York City ,https://sdglocalaction.org/moving-by-water/,https://www.ferry.nyc/
Anaheim,United States of America,American Rescue Plan Act,Stories,https://sdglocalaction.org/arpa-supports-cities/,https://www.transit.dot.gov/funding/american-rescue-plan-act-2021
Rowland,United States of America,American Rescue Plan Act,Stories,https://sdglocalaction.org/arpa-supports-cities/,https://www.transit.dot.gov/funding/american-rescue-plan-act-2021
Denver,United States of America,"Financial initatives to promote e-bikes
- E-BIKE ACT
- E-bike rebates",Stories,https://sdglocalaction.org/denvers-e-bikes/,"https://panetta.house.gov/media/press-releases/reps-panetta-blumenauer-thompson-and-schiff-reintroduce-e-bike-act
https://denverrebate.azurewebsites.net"
Hoboken,United States of America,Comprehensive strategy for coastal and heavy rainfall flood mitigation,Stories,https://sdglocalaction.org/hoboken-coastal-flood-mitigation-strategy/,https://cityofhoboken.maps.arcgis.com/apps/Cascade/index.html?appid=6d8bbfc535fc40bbbcf2bc9584f83656
Brooklyn,United States of America,SDG City Tales,Stories,https://sdglocalaction.org/sdg-city-tales/,
Boston,United States of America,Moving Day Permit,Stories,https://sdglocalaction.org/public-service-delivery-improvement/,https://www.boston.gov/departments/parking-clerk/reserve-parking-spot-your-moving-truck
Rocha,Uruguay,Camarón-Puerto Valizas,SDG Local Solutions series: Municipal Solutions for Storage and Selling Fresh Food Products,https://sdglocalaction.org/municipal-solutions-for-selling-fresh-products/,
Montevideo,Uruguay,The green transition program,SDG Local Solutions series: Latin America Cities Innovate Urban Waste and Mobility,https://sdglocalaction.org/latin-america-cities-innovate-urban-waste-and-mobility/,
Montevideo,Uruguay,Portfolio approach,SDG Local Solutions series: Developing inclusive city neighbourhood,,
Montevideo,Uruguay,"Montevideo Lab / MVDLAB
- Montevideo Participa",SDG Local Solutions series: Digital Participatory Tools: The Experiences Of Turin And Montevideo,https://sdglocalaction.org/digital-participatory-tools-2/,"Montevideo Lab: https://montevideo.gub.uy/node/41513
Montevideo Participa: https://participa.montevideo.gub.uy"
Canelones,Uruguay,/,City Talks: Leaving No One Behind: Lessons in Inclusive Urban Transport from The Cities of Hermosillo and Canelones ,https://sdglocalaction.org/no-one-behind-transport/,
Canelones,Uruguay,Voluntary Local Review,Stories,https://sdglocalaction.org/canelones-vlr-2024/,https://sdglocalaction.org/wp-content/uploads/2024/10/Canelones_ODS2.pdf
/,Uzbekistan,"""Islands of Integrity"" methodology",Stories,https://sdglocalaction.org/uzbekistan-islands-of-integrity/,https://anticorruption.uz/en/article/zbekistonda-bosqaruvni-takomillastiris-loiiasi-amalga-osiriladi
Port Vila,Vanuatu,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Port%20Vila%20Vanuatu_HQP.pdf
/,Zambia,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
Luwingu,Zambia,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
/,Zimbabwe,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
