Local/Regional government,Country,Project/Initiative,Featured in,Source,Link
Home Bay County,Kenya,County Integrated Action Plan,Stories,https://sdglocalaction.org/development-in-homa-bay-county-kenya/,https://sdglocalaction.org/wp-content/uploads/2024/01/Homa-Bay-County-edited.pdf
Nairobi City County,Kenya,"Urban art policy
Public spaces for murals and installations
Partnerships between government, artists, and civil society organisations
Mural projects in informal settlements",SDG Local Solutions series: The role of urban art for inclusive and sustainable cities,https://sdglocalaction.org/urban-art-inclusive-cities-2/,
Beirut,Lebanon,Her City Toolbox,Stories,https://sdglocalaction.org/her-city-toolbox/,https://hercity.org/beirut
/,Lesotho,“Connecting the Dots” initiative,Stories,https://sdglocalaction.org/african-women-local-development/,https://www.clgf.org.uk/regions/clgf-southern-africa/clgf-southern-africa-programmes/connecting-the-dots-stories-of-change/
Vilnius,Lithuania,Vilnius is a School.,Stories,https://sdglocalaction.org/vilinius-new-school-project/,https://www.vilniusisaschool.com/en/
Mahajanga,Madagascar,Fiscal Resource Mobilization Project via Digital Solutions (Mobile Collection),SDG Local Solutions series: Local Government Financing Dialogues: Experiences and Innovative Solutions ,https://sdglocalaction.org/local-financing-dialogues/,
Toamasina,Madagascar,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20%20toamasina%20madagascar_hqp.pdf
Nkhotakota,Malawi,Promoting tourism and agricultural sector with the Export Development Fund,Stories,https://sdglocalaction.org/nkhotakota-district-in-malawi/,
Hang Tuah Jaya,Malaysia,"2030 Green Economy and Sustainable Community plans
- Green public procurement",Stories,https://sdglocalaction.org/public-procurement-sustainability/,
Various cities,Malaysia,Low Carbon City Framework Programme,Stories,https://sdglocalaction.org/cities-against-climate-change/,https://www.researchgate.net/publication/347966372_Malaysia_Commitment_towards_Low_Carbon_Cities
Nouakchott,Mauritania,SDG City Tales,Stories,https://sdglocalaction.org/sdg-city-tales/,
Port Louis,Mauritius,Urban flood resilience strategies,SDG Local Solutions series: Urban Flood Recovery Strategies In The Cities Of Ahmedabad and Port Louis,https://sdglocalaction.org/flood-recovery-learnings/,
Port Louis,Mauritius,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Port%20Louis%20Mauritius_HQP.pdf
Mexico City,Mexico,Solar City initiative,SDG Local Solutions series: Creating Local Skills for Green Energy Transitions,https://sdglocalaction.org/green-energy-local-skills/,
Hermosillo,Mexico,The Biciclando project,SDG Local Solutions series: Latin America Cities Innovate Urban Waste and Mobility,https://sdglocalaction.org/latin-america-cities-innovate-urban-waste-and-mobility/,https://www.implanhermosillo.gob.mx/biciclando/
Hermosillo,Mexico,/,City Talks: Leaving No One Behind: Lessons in Inclusive Urban Transport from The Cities of Hermosillo and Canelones ,https://sdglocalaction.org/no-one-behind-transport/,
Hermosillo,Mexico,"Gender, recycling, and sustainable mobility",Stories,https://sdglocalaction.org/biciclando-hermosillo-sept25/,
Hermosillo,Mexico,Biciclando,SDG Local Solutions series: Transforming the city of Hermosillo (Mexico): the Biciclando recycling project,https://sdglocalaction.org/hermosillos-biciclando-urban-sustainability/,https://sdglocalaction.org/guideline-biciclando-recycling/
Dhulikhel,Nepal,Shreekhandrapur Wastewater and Faecal Sludge Treatment Plant,Stories,https://sdglocalaction.org/nepal-co-treatment-plant/,
Amsterdam,Netherlands,"""Make Amsterdam Your Home"" initiative",Stories,https://sdglocalaction.org/make-amsterdam-your-home/,https://www.iamsterdam.com/en/live-work-study/make-amsterdam-your-home-support-for-internationals
Rotterdam,Netherlands,"Connected vehicle data
- Rotterdam Open Urban Platform
- XCarCity Digital Twin Federation",SDG Local Solutions series: How connected vhicles can make street cities safer,https://sdglocalaction.org/connected-vehicles-safer-streets/,
Kaduna South Local Government,Nigeria,Healthcare system reform,Stories,https://sdglocalaction.org/kaduna-south-healthcare/,
/,Norway,Active and Social at All Ages,Stories,https://sdglocalaction.org/norway-all-ages/,https://sdglocalaction.org/wp-content/uploads/2023/12/23302-KS-Active-and-Social-At-All-Ages_web.pdf
Karachi,Pakistan,Green and sustainable infrastructure projects,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,
Areguá,Paraguay,UNESCO Creative City of Craft and Folk Art,Stories,https://sdglocalaction.org/arts-culture-inclusive-cities/,https://www.unesco.org/en/creative-cities/aregua
Lima,Peru,Using water harvesting in fog oases in the hills,Stories,https://sdglocalaction.org/cities-against-climate-change/,
Butuan,Philippines,AgriBOOST,SDG Local Solutions series: Connecting Farmers and Local Food Systems – Butuan and Rourkela,https://sdglocalaction.org/connecting-farmers-and-local-food-systems-butuan-and-rourkela/,https://sdglocalaction.org/wp-content/uploads/2023/09/Butuan.pdf
Baguio City,Philippines,SIGLAT Youth Innovation Hub,Stories,https://sdglocalaction.org/siglat-innovation-hub/,https://new.baguio.gov.ph/news/countrys-first-youth-innovation-hub-established-in-baguio
Pasig,Philippines,SDG City Tales,Stories,https://sdglocalaction.org/sdg-city-tales/,
Butuan,Philippines,AgriBOOST,"SDG Local Solutions series: Strengthening local food production: the case study of Butuan, Philippines",https://sdglocalaction.org/agriboost-webinar/,https://sdglocalaction.org/wp-content/uploads/2025/02/EN_Butuan-Guidelines.pdf
Kigali,Rwanda,Kigali Innovates Smart Waste and Water Harvesting,SDG Local Solutions series: African cities innovatingi public service delivery: the cases of Kumasi (Ghana) and Kigali (Rwanda,https://sdglocalaction.org/building-resilient-cities/,https://sdglocalaction.org/guideline-kigalis-experience/
Kigali,Rwanda,Kigali Innovates Smart Waste and Water Harvesting,SDG Local Solutions series: A Tale of Two Cities: Kumasi and Kigali,https://sdglocalaction.org/kumasi-kigali/,https://sdglocalaction.org/wp-content/uploads/2023/08/Kigali-final-presenation.pdf
/,Rwanda,Rwanda Association of Local Governmnet Authority,SDG Local Solutions series: The role of local government associations in crisis,https://sdglocalaction.org/local-government-associations-in-crisis/,http://ralga.rw/
Al Madinah,Saudi Arabia,Voluntary Local Review,Stories,https://sdglocalaction.org/voluntary-local-review-al-madinah-saudi-arabia/,https://sdglocalaction.org/wp-content/uploads/2023/12/al_madinah_2023_en.pdf
/,Saudi Arabia,Future Saudi Cities programme,Stories,https://sdglocalaction.org/our-city-plans/,https://ourcityplans.org/planning-experiences/future-saudi-cities-programme
Casamance region,Senegal,Local governance innovation exchange,Stories,https://sdglocalaction.org/casamance-senegal-local-governance-innovation/,https://gpgs.exposure.co/from-isolation-to-innovation
Freetown,Sierra Leone,#FreetownTheTreeTown,SDG Local Solutions series: Entering Carbon Markets: The Cases Of Cordoba Province and The City Of Freetown,https://sdglocalaction.org/entering-carbon-markets/,https://sdglocalaction.org/freetown-the-treetown/
Freetown,Sierra Leone,Freetown Treetown,SDG Local Solutions series: Mapping Cities With Drones: The Experiences Of Dublin and Freetown,https://sdglocalaction.org/drones-map-cities/,https://fcc.gov.sl/freetown-the-treetown/
Freetown,Sierra Leone,Water kiosks construction,Stories,https://sdglocalaction.org/freetown-mayor-teams-up-with-uncdf-to-build-25-water-kiosks/,https://www.uncdf.org/article/8706/freetown-mayor-and-uncdf-partner-to-build-25-water-kiosks-empowering-women-and-promoting-peace
Freetown,Sierra Leone,"Transform Freetown initiative
- faecal sludge treatment plant",Stories,https://sdglocalaction.org/freetown-city-council-sanitation-project/,https://www.uncdf.org/article/8650/fcc-uncdf-stakeholders-tour-kingtom-fecal-sludge-plant-in-freetown-amid-recycling-advances
Singapore,Singapore,Smart Nation initiative,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,https://www.weforum.org/agenda/2019/11/singapore-smart-city/
Singapore,Singapore,OneMillionTrees movement,Stories,https://sdglocalaction.org/reforestation-cases/,https://www.nparks.gov.sg/treessg/one-million-trees-movement/about-the-movement
/,Somalia,Somalia Local Government Association,SDG Local Solutions series: The role of local government associations in crisis,https://sdglocalaction.org/local-government-associations-in-crisis/,
eThekwini Municipality,South Africa,"One Home One Garden
Water Recycling Plant
KwaMashu Waste Beneficiation Centre",Stories,https://sdglocalaction.org/ethekwini-city-solutions/,"https://www.durban.gov.za/news/Isiphingo+Clinic+aeroponic+garden+to+boost+patient+nutrition
https://www.veolia.co.za/durban-water-recycling
https://durbangreencorridor.co.za/our-work/waste-management/kmbc"
City of Johannesburg,South Africa,"World Class African City of the Future
Climate Action Plan",Stories,https://sdglocalaction.org/johannesburg-sdg/,"https://urbanage.lsecities.net/essays/johannesburg-a-world-class-african-city
https://sdglocalaction.org/wp-content/uploads/2023/10/The-City-of-Gold.pdf"
Buffalo City,South Africa,Clean water and sanitation,Stories,https://sdglocalaction.org/water-and-sanitation-in-buffalo/,https://sdglocalaction.org/wp-content/uploads/2023/10/Water-and-Sanitation.pdf
Midvaal ,South Africa,Sebenza Mbokodo Women’s Fund,Stories,https://sdglocalaction.org/african-women-local-development/,
Sejong City,South Korea,"Sejong Centre for Creative Economy and Innovation,",Stories,https://sdglocalaction.org/sejong-innovation-centre/,https://uclg-aspac.org/sejong-centre-for-creative-economy-and-innovation/
Sejong City,South Korea,first hydrogen bus-exclusive charging station,Stories,https://sdglocalaction.org/sejong-hydrogen-bus-charging/,https://uclg-aspac.org/sejongs-first-hydrogen-bus-exclusive-charging-station-started-operating-in-daepyeong-dong/
Jeonju,South Korea,Traditional Culture City project,Stories,https://sdglocalaction.org/arts-culture-inclusive-cities/,
Seville,Spain,"Watercool project
Cartuja Qanat project
Urban planning
Cultural adaptation",SDG Local Solutions series: Tackling Extreme Heat In Cities: Insights From Miami-Dade County and Seville,https://sdglocalaction.org/tackling-extreme-heat/,"Watercool project: https://lifewatercool.com/
Cartuja Qanat project: https://cartujaqanat.com/"
The Province of Barcelona,Spain,Common Services,SDG Local Solutions series: The Experience of The Barcelona Province in Providing Common Services to Municipalities,https://sdglocalaction.org/lessons-barcelona-experience/,
